topic_mean,filter_mean,display,sequence,filter_category_mean,filter_limit
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_1,Fusion Custom Component 1 section layout parameters,1,mp_sect_params,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_2,Fusion Custom Component 2 section layout parameters,2,mp_sect_params,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_3,Fusion Custom Component 3 section layout parameters,3,mp_sect_params,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_4,Fusion Custom Component 4 section layout parameters,4,mp_sect_params,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_5,Fusion Custom Component 5 section layout parameters,5,mp_sect_params,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_6,Fusion Custom Component 6 section layout parameters,6,mp_sect_params,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_7,Fusion Custom Component 7 section layout parameters,7,mp_sect_params,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_8,Fusion Custom Component 8 section layout parameters,8,mp_sect_params,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_9,Fusion Custom Component 9 section layout parameters,9,mp_sect_params,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_10,Fusion Custom Component 10 section layout parameters,10,mp_sect_params,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_prg_1,Fusion Custom Component 1 Namespace,11,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_obj_1,Component Options Object 1,12,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_prg_2,Fusion Custom Component 2 Namespace,13,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_obj_2,Component Options Object 2,14,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_prg_3,Fusion Custom Component 3 Namespace,15,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_obj_3,Component Options Object 3,16,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_prg_4,Fusion Custom Component 4 Namespace,17,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_obj_4,Component Options Object 4,18,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_prg_5,Fusion Custom Component 5 Namespace,19,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_obj_5,Component Options Object 5,20,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_prg_6,Fusion Custom Component 6 Namespace,21,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_obj_6,Component Options Object 6,22,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_prg_7,Fusion Custom Component 7 Namespace,23,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_obj_7,Component Options Object 7,24,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_prg_8,Fusion Custom Component 8 Namespace,25,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_obj_8,Component Options Object 8,26,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_prg_9,Fusion Custom Component 9 Namespace,27,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_obj_9,Component Options Object 9,28,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_prg_10,Fusion Custom Component 10 Namespace,29,link_entry,
mp_vb_wf_fusion_custom_comp,fusion_custom_comp_obj_10,Component Options Object 10,30,link_entry,
